# Source: NREL/TP-500-29955, Table A-1. Standard 5.029 m tip.
# radius_m,chord_m,twist_deg_report,chord_mount
0.5083,0.2180,0.000,0.50
0.6604,0.2180,0.000,0.50
0.8835,0.1830,0.000,0.50
1.0085,0.3490,6.700,0.359
1.0675,0.4410,9.900,0.335
1.1335,0.5440,13.400,0.319
1.2575,0.7370,20.040,0.300
1.3430,0.7280,18.074,0.300
1.5100,0.7110,14.292,0.300
1.6480,0.6970,11.909,0.300
1.9520,0.6660,7.979,0.300
2.2570,0.6360,5.308,0.300
2.3430,0.6270,4.715,0.300
2.5620,0.6050,3.425,0.300
2.8670,0.5740,2.083,0.300
3.1720,0.5430,1.150,0.300
3.1850,0.5420,1.115,0.300
3.4760,0.5120,0.494,0.300
3.7810,0.4820,-0.015,0.300
4.0230,0.4570,-0.381,0.300
4.0860,0.4510,-0.475,0.300
4.3910,0.4200,-0.920,0.300
4.6960,0.3890,-1.352,0.300
4.7800,0.3810,-1.469,0.300
5.0000,0.3580,-1.775,0.300
5.0290,0.3551,-1.815,0.300

